Title_id	Title	Year	Rated	Runtime	Director	Actors	Plot	Language	Awards	Type	BoxOffice	Production	Website
tt9777222	How Do I Let You Go	2019			Maria Celli	D.J. Bowman, Madison M. Bowman, Christian Vallejo, Angie Ruiz		English		movie			
tt9777020	Speed Date	2018		5 min	Yu Chen	Danny Abassi, Rita Brancato, Henry Curiel, Conor Di	A speed date night in a local bar. Each to their own story, each their own goal, and each their own way of tolerating loneliness.	English		movie			
tt9777008	Na kray sveta	2019		95 min	Ilya Aksyonov	Alina Alexeeva, Boris Dergachev, Nikita Efremov, Yang Ge		Russian		movie			
tt9776944	At'Anii'	2019			Antonino Isordia Llamazares	Saúd Alcántara, Carmen Martínez Espinoza, Mauricio Lara, Maximino Morán Martínez	A Teenek couple lives happily married, in the huasteca potosina's jungle. Everything changes when the construction of a highway arrives.	Spanish		movie			
tt9776902	IT	2015			Tayte Rian	Elissa Beauodoin, Jon Lee Richardson, Issa Ali Ayyed, Sean Koetting	A college girl struggling with depression and destructive coping methods must decide if It, a young man, is going to save her life or take it.	English		movie			
tt9776808	Isaac Pope: The Spirit of an American Century	2019		58 min	Rock Grant	Sarone Cannon, Patricia Harris, Kyle Hatzinger, Charles Johnson	Intimate view of 100 years of American history seen through Isaac Pope, an African-American centenarian who's a spellbinding storyteller and unsung hero of war, the civil rights and workers...	English	4 wins.	movie			
tt9776694	Kermchaleh	2019		15 min	Vahid Davoodi Pooya	Mina Vahid, Mohammad Mehdi Hosseini, Mahtab Amin, Azadeh Seifi	Subjective experiences of a woman who encounters a betrayal. What should she do? Infinite possibilities arise from her decision. . Nobody knows that whether all the events are occurring in her story or in the reality.	None	2 wins & 3 nominations.	movie			
tt9776686	Sayonara	2015			Sam Askew			English		movie			
tt9776678	My Son	2019			Richard Dang	Ahmed Mesallati, Martin Huss, Tammar Hazzaa, Nabeel Saleh	An immigrant father needs to put his persistent son in a hockey program or risk losing his only child's faith in him. Only later to find out that his son has a desire greater than the request.	English		movie			
tt9776658	Clickbait : A Film About Films	2017		24 min	Billy Bjork	Justin Escalona, Casey Neistat		English		movie			
tt9776638	The Watershed Guardians of the Fraser River	2018		52 min	Jocelyn Demers		The Frazer River is one of the most beautiful rivers of Canada. Yet many people share concerns that the river, which once brought natural prosperity, is now under threat from human ...	English		movie			
tt9776634	Encounter	2019			Linda Liu	Simon Chin, Stephanie Cho, Charmaine Ho, Chelsey Moore	An ordinary server working at a cafe is reminded of the love and passion in life through an unexpected encounter.	English		movie			
