 Title_id	Title	Plot	Awards	totalSeasons	Year	Rated	Runtime	Director	Actors	Language	Type
tt8896566	Folk Stars: Maati Ke Laal	Folk Stars: Maati Ke Laal is the first of its kind tv series on indian television. for the first time singers of different dialect and languages came to compete each other on one realty show.			2015–2016				Ila Arun, Annu Kapoor	Hindi	series
tt8896500	Bhoot Bangla				2006–2007				Kajal Wadhwa	Hindi	series
tt8895516	Philbin's People			1.0	1969–1970		60 min		Regis Philbin	English	series
tt8895352	Land of the Thirst King				1979		25 min		Willem Steenkamp	English	series
tt8895312	The Reboot Series				2017				Topher McLean	English	series
tt8894712	Dennekruin 12				1983		36 min		Paul Eilers, Marié du Toit, Ryno Hattingh, Joanie Combrink	Afrikaans	series
tt8894692	Year Down				2018–				Shreevallabh Bhatt, Hrishikesh Joshi, Santosh Juvekar	Marathi	series
tt8894572	Koos Kluitjies				1987		25 min		Alex Heyns, Isabella Bosman, Michael Brunner, Schalk Schoombie	Afrikaans	series
tt8894474	Out of the Box - Asia				2018–					English	series
tt8894398	California Dreamin'	Shu is a senior at a low-ranked university. Kotomi is a struggling model. Keiko has a desk job at a small company. All of them are former classmates from junior high school. All of them are...		1.0	2002				Toshifumi Muramatsu, Hiromitsu Suzuki, Tsuyoshi Dômoto, Ken Kaito	Japanese	series
tt8894352	Nie Vanweë die Duisternis				1980				Francois de Bruyn, Dulcie van den Bergh, Regardt van den Bergh, Rina Nienaber	Afrikaans	series
tt8894324	Take My Brother Away	Impoverished teenage siblings struggle to live together, with one hoping to escape living in her ne'er-do-well brother's shadow.	1 win.	1.0	2018–		45 min		Joseph Zeng, Qian Sun, Xiao-Yu Lu, Hu Yong Tao	Mandarin	series
tt8894092	Ethans funny faces				2018–				Ethan Hileman	English	series
tt8893902	Warski				2018–				Andy Warski	English	series
tt8893698	The Martians				2010–2011					English	series
tt8893676	Anti-Hero	In a world where superheroes rule a young man named Stanley Ditko finds himself a part of a plan to bring a criminal mastermind to justice. To do this he must go undercover as the thing he hates the most: a villain.			2018–		30 min		Mark Frazer, Joe Micheals, Jack Sneed, Stephan Weyte	English	series
tt8893624	Nekojiru gekijô - jirujiru Original	"A story of Nyaka and Nyatta based on the comics by the late Nekojiru. Contains 23 animated shorts aired TV Asahi Network's show ""Bokusho Mondai Boss Chara Ou."" and 4 unaired episodes."		1.0	1999		36 min			Japanese	series
tt8893584	Match Time	Granada's regional coverage of all things football presented by Gerald Sinstadt featuring highlights, interviews and post-match analysis.			1968–1983				Jimmy Armfield, Barry Davies, Denis Law, Gerald Sinstadt	English	series
tt8893566	Battlefish	Over the course of the fishing season, a group of fishing boats pursues the lucrative albacore tuna in the competitive waters off the Oregon coast.		1.0	2018–		42 min		Justin Bradbury		series
tt8893554	Last Hope	After causing the near extinction of mankind seven years ago, genius scientist Leon Lau must now fight the ecological disaster he unwittingly created.		1.0	2018–	TV-14	24 min		Robbie Daymond, Johnny Yong Bosch	Japanese	series
tt8893550	Car Masters: Rust to Riches	The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.		2.0	2018–	TV-PG	40 min		Constance Nunes, Shawn Pilot, Michael 'Caveman' Pyle, Tony Quinones		series
tt8893546	Boca Juniors Confidential	A closer look of Boca Juniors's players, fans and staff to the club's day-to-day, in order to win the Argentinean League, the Superliga, again.		1.0	2018		45 min		Juan Pablo Varsky, Guillermo Barros Schelotto, Boca Juniors, Lisandro Magallán	Spanish	series
tt8893528	XYXX	In the near future, your DNA determines your soulmate. Or does it?			2018–		11 min		Meredith Shank, Jim Cummings, Caitlin Kimball, Sachin Bhatt	English	series
tt8893502	First and Last	Cameras enter Georgia's Gwinnett County Jail to document the first days of its newest inmates and the final days of those about to be released.		1.0	2018–		40 min		Shantee G., Alex R., Velma S.		series
tt8893498	A Taiwanese Tale of Two Cities	A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.	7 nominations.	1.0	2018–				Tammy Chen, Peggy Tseng, Sheng-hao Wen, Shao-hua Lung		series
tt8893430	Bored	Alan, Adam, Ellie and manager Rowan work at Playtech - where hardly any work gets done and more often than not everyone is bored to death.			2013–				Rowan Bettjeman, Alan Morrison, Adam King	English	series
tt8893404	Fête	Three sisters gather annually, over a period of five years, to celebrate the eldest's birthday. Each year brings with it new partners, challenges, heartaches, and misgivings in this messy drama about dysfunctional family dynamics.		1.0	2019–				Krista Hovsepian	English	series
tt8893114	Green Valley			1.0	2019–						series
tt8892966	Jaded	In a city like San Francisco with seemingly no rules, how do you know which game to play when you don't really want to play to begin with? Ask all the questions, try all the things, fall in love in all the wrong places.			2018–				JD Scalzo, Alan Littlehales, Earl Alfred Paus, Donald Currie	English	series
tt8892926	Reef Break	A crime drama featuring main character Cat Chambers, a thief-turned-fixer for the governor of a stunning and seductive Pacific Island paradise. Impulsive, reckless and irresistible, Cat's ...		1.0	2019	TV-PG	60 min		Poppy Montgomery, Ray Stevenson, Desmond Chiam, Melissa Bonne	English	series
tt8892716	Who is Jamie Crowe				2009–2010				David Browne, O'Doherty Cameron, Paddy C. Courtney, McMahon Hayley	English	series
tt8892672	Rising Up With Sonali				2018–				Ruth Priscilla Kirstein		series
tt8892558	My Life in Brazil			2.0	2009–2010				Tony Rubino	English	series
tt8892364	Chosen Kin Origins: New Breed	A trio of humans with enhanced abilities are chosen to defend the earth against an army of invading aliens in the battle of the unknown.			2018–				Levy Tran	English	series
tt8892124	Puckheads				2018–				Vanessa Angel, Nick Bastounes, Tom Bastounes, Monique Blanchard		series
tt8891990	Transformers: Cyberverse	The series focuses on the adventures of Bumblebee; having damaged his memory chips, he and Windblade must recover his missing memories in order to help him remember his mission on Earth. ...		3.0	2018–2020	TV-Y7-FV	11 min		Jeremy Levy, Jake Foushee, Sophia Isabella, Ryan Andes	English	series
tt8891538	Tony Baker Comedy				2009–				Tony Baker	English	series
tt8891232	The Adventures of the Hamm Bros.	Brothers Seth and Caleb are featured in numerous and outlandish adventures.			2018–		4 min		Seth Hamm, Caleb Hamm, Felicia Hamm, Jimmie Hamm	English	series
tt8890944	LEGO Unikitty			1.0	2018–				Celina Frenn, Kevin Ulrich		series
tt8890684	Les Boivin				1974		30 min		Denis Drouin, Yvon Leroux, Suzanne Lévesque, Janine Sutto	French	series
